person_age,person_gender,person_education,person_income,loan_amnt,loan_intent,loan_int_rate,cb_person_cred_hist_length,previous_loan_defaults_on_file,loan_status
26,female,High School,316466,10000,EDUCATION,11.01,4,No,1
25,female,Associate,267671,25000,MEDICAL,15.7,2,No,1
22,male,Master,85191,29100,EDUCATION,15.99,3,No,1
22,male,Associate,15013,1500,EDUCATION,14.84,3,No,0
26,male,Bachelor,313100,28000,HOMEIMPROVEMENT,10.99,3,Yes,0
25,female,Bachelor,311952,20000,HOMEIMPROVEMENT,14.42,2,Yes,0
24,male,High School,306897,9600,EDUCATION,6.99,2,Yes,0
25,female,Bachelor,301136,25000,MEDICAL,13.49,4,Yes,0
25,male,High School,15162,3000,MEDICAL,11.01,3,No,1
22,male,Associate,69042,28000,MEDICAL,11.01,2,No,1
21,female,High School,15307,3000,EDUCATION,13.61,3,No,1
23,female,Associate,79183,28000,EDUCATION,7.9,2,No,1
26,male,Bachelor,102654,28000,VENTURE,7.49,3,No,1
26,male,Associate,15229,6100,EDUCATION,7.51,3,No,1
22,male,High School,106566,28000,VENTURE,9.91,3,No,1
21,female,Bachelor,15252,4200,PERSONAL,13.48,4,No,1
22,male,Bachelor,15432,4750,DEBTCONSOLIDATION,7.14,2,No,1
24,male,High School,100332,28000,VENTURE,15.99,4,No,1
24,male,Bachelor,300951,18000,EDUCATION,12.98,3,No,0
144,male,Bachelor,300616,4800,VENTURE,13.57,3,No,0
25,female,Bachelor,121062,28000,DEBTCONSOLIDATION,12.69,3,No,0
26,male,Associate,133372,28000,EDUCATION,8.9,2,Yes,0
26,male,Bachelor,15505,2700,DEBTCONSOLIDATION,11.01,4,No,1
22,male,Master,130852,28000,EDUCATION,11.01,4,No,1
23,male,Associate,182316,28000,DEBTCONSOLIDATION,11.11,2,Yes,0
24,female,Bachelor,83853,27600,HOMEIMPROVEMENT,11.01,2,No,1
21,female,Bachelor,15394,3250,DEBTCONSOLIDATION,15.68,3,No,1
22,female,Bachelor,85243,27500,EDUCATION,13.06,3,No,1
22,male,Associate,288907,25000,PERSONAL,11.01,2,Yes,0
26,male,Associate,89074,27050,VENTURE,15.62,2,No,1
24,male,Master,100509,27000,PERSONAL,13.49,2,No,1
24,male,High School,88950,27000,VENTURE,11.01,3,No,1
23,female,High School,75894,26000,MEDICAL,11.71,2,No,1
23,male,Associate,145092,25600,EDUCATION,12.69,3,Yes,0
24,female,Bachelor,15928,1600,MEDICAL,13.57,3,Yes,0
22,male,Bachelor,73131,25475,VENTURE,10.99,3,No,1
25,male,Master,281501,20000,MEDICAL,14.27,4,Yes,0
24,female,Associate,281775,20000,HOMEIMPROVEMENT,8.88,4,Yes,0
26,male,Bachelor,281792,21600,HOMEIMPROVEMENT,12.18,3,Yes,0
25,male,Bachelor,266090,11900,DEBTCONSOLIDATION,14.42,3,No,1
26,male,High School,279664,25000,MEDICAL,14.17,2,Yes,0
25,female,High School,277017,35000,MEDICAL,13.99,4,Yes,0
23,male,Associate,100756,25300,EDUCATION,10.99,3,No,1
22,male,High School,16218,2000,PERSONAL,5.42,4,No,1
25,female,Bachelor,16211,1750,PERSONAL,13.61,3,Yes,0
21,female,Bachelor,51922,25000,EDUCATION,12.73,3,No,1
24,male,Associate,50309,25000,HOMEIMPROVEMENT,11.01,3,No,1
25,male,High School,16378,3000,DEBTCONSOLIDATION,12.87,4,No,1
24,male,Bachelor,16572,3650,HOMEIMPROVEMENT,9.91,3,No,1
26,male,Master,272201,20000,HOMEIMPROVEMENT,11.49,4,Yes,0
25,female,Bachelor,271324,30000,HOMEIMPROVEMENT,19.91,2,Yes,0
26,male,Associate,256862,35000,EDUCATION,10.65,2,No,1
24,male,High School,271342,6000,MEDICAL,11.01,4,Yes,0
24,male,High School,16470,4500,DEBTCONSOLIDATION,11.83,4,No,1
23,male,High School,16599,2400,DEBTCONSOLIDATION,13.49,2,No,1
22,male,Bachelor,51608,25000,MEDICAL,14.59,2,No,1
26,female,Master,58516,25000,EDUCATION,9.64,4,No,1
25,female,Associate,16395,3600,MEDICAL,14.59,3,No,1
22,female,Bachelor,16890,4750,EDUCATION,11.01,3,No,1
25,female,Associate,51747,25000,EDUCATION,16.35,3,No,1
21,male,High School,59864,25000,EDUCATION,10.99,2,No,1
25,male,Master,270972,25000,VENTURE,18.67,2,Yes,0
26,male,Bachelor,270870,3000,EDUCATION,9.32,4,No,0
23,female,Associate,270729,7500,DEBTCONSOLIDATION,8.63,2,No,0
26,male,Bachelor,270877,25000,VENTURE,10.08,2,Yes,0
22,male,Associate,60501,25000,PERSONAL,11.83,3,No,1
23,male,High School,60754,25000,DEBTCONSOLIDATION,7.9,3,No,1
25,male,Bachelor,60829,25000,HOMEIMPROVEMENT,5.99,2,No,1
24,male,Bachelor,53825,25000,DEBTCONSOLIDATION,15.33,2,No,1
23,male,High School,60801,25000,VENTURE,11.83,4,No,1
22,male,High School,60747,25000,VENTURE,10.36,2,No,1
22,female,High School,61029,25000,VENTURE,12.23,3,No,1
22,female,Associate,63236,25000,EDUCATION,11.11,4,No,1
23,female,Bachelor,17149,4950,DEBTCONSOLIDATION,7.9,4,No,1
24,female,Master,265066,25000,EDUCATION,11.58,2,Yes,0
23,male,Associate,260205,21000,DEBTCONSOLIDATION,8.9,3,No,0
25,female,Associate,260035,25000,EDUCATION,16.07,3,Yes,0
26,female,Bachelor,260444,20000,EDUCATION,14.22,2,No,0
23,male,Bachelor,258980,35000,MEDICAL,14.79,3,Yes,0
26,male,High School,259081,12000,EDUCATION,7.88,2,Yes,0
23,male,High School,63497,25000,PERSONAL,13.22,2,No,1
26,female,Doctorate,56325,25000,DEBTCONSOLIDATION,11.86,4,No,1
22,male,Bachelor,64842,25000,EDUCATION,13.43,4,No,1
26,female,High School,57856,25000,HOMEIMPROVEMENT,15.28,2,No,1
23,male,Associate,57318,25000,VENTURE,17.93,2,No,1
23,female,High School,16916,1400,EDUCATION,9.25,4,No,0
21,male,Master,16664,4500,VENTURE,12.98,4,No,1
22,male,Associate,252803,16000,VENTURE,10.62,4,Yes,0
26,female,Associate,253061,22000,PERSONAL,11.83,4,Yes,0
26,male,Bachelor,58602,25000,VENTURE,18.43,2,No,1
22,male,High School,67012,25000,EDUCATION,11.01,4,No,1
24,female,Master,66643,25000,HOMEIMPROVEMENT,11.01,4,No,1
23,male,Bachelor,66599,25000,EDUCATION,11.36,3,No,1
23,male,Associate,67212,25000,EDUCATION,15.65,3,No,1
24,female,High School,66918,25000,PERSONAL,13.22,4,No,1
26,male,Associate,68066,25000,DEBTCONSOLIDATION,12.87,2,No,1
24,male,Associate,245545,20000,MEDICAL,13.04,3,Yes,0
23,male,Associate,229083,22000,EDUCATION,17.58,3,No,1
23,male,High School,17859,7750,PERSONAL,17.04,4,No,1
24,female,Associate,72608,25000,PERSONAL,10.99,3,No,1
24,male,Bachelor,73073,25000,PERSONAL,11.11,3,No,1
26,female,Master,65880,25000,DEBTCONSOLIDATION,14.83,2,No,1
23,male,High School,17755,4000,DEBTCONSOLIDATION,11.01,3,No,1
24,male,Bachelor,241180,12000,MEDICAL,12.69,2,No,0
24,male,Associate,240894,12000,HOMEIMPROVEMENT,13.49,2,No,0
21,male,High School,240980,16000,EDUCATION,14.65,4,Yes,0
25,male,Bachelor,65742,25000,HOMEIMPROVEMENT,16.82,4,No,1
23,male,Bachelor,72713,25000,PERSONAL,12.73,3,No,1
23,male,High School,72627,25000,PERSONAL,10.25,4,No,1
21,male,Associate,72843,25000,EDUCATION,10.99,4,No,1
25,male,High School,75504,25000,MEDICAL,12.73,2,No,1
22,female,High School,68824,25000,HOMEIMPROVEMENT,14.96,3,No,1
23,female,Bachelor,241167,28000,EDUCATION,11.01,2,Yes,0
21,male,Bachelor,241060,25000,DEBTCONSOLIDATION,13.99,2,No,0
24,male,High School,240855,24000,VENTURE,7.49,4,Yes,0
26,male,High School,241030,15000,EDUCATION,14.79,3,Yes,0
25,male,High School,240895,15500,DEBTCONSOLIDATION,11.99,2,No,0
24,female,High School,240932,10000,EDUCATION,8.49,4,Yes,0
24,male,Associate,80145,25000,EDUCATION,9.91,2,No,1
22,male,Master,80303,25000,EDUCATION,13.06,3,No,1
22,male,High School,241048,9000,DEBTCONSOLIDATION,6.17,4,Yes,0
144,male,Associate,241424,6000,EDUCATION,11.86,2,No,0
25,male,Bachelor,241005,18000,EDUCATION,16.32,3,Yes,0
25,female,Master,240768,12000,VENTURE,10.38,2,Yes,0
25,male,Associate,241201,23050,PERSONAL,14.35,3,No,0
24,male,Bachelor,240920,20000,DEBTCONSOLIDATION,11.01,3,No,0
24,female,Master,72919,25000,DEBTCONSOLIDATION,11.01,2,No,1
21,male,Master,18008,3000,HOMEIMPROVEMENT,11.01,4,No,1
26,female,Associate,81238,25000,PERSONAL,15.21,2,No,1
23,male,High School,80868,25000,EDUCATION,7.9,4,No,1
24,male,Bachelor,81537,25000,VENTURE,10.99,3,No,1
24,female,Associate,82741,25000,PERSONAL,14.09,3,No,1
25,female,High School,83901,25000,PERSONAL,17.49,2,No,1
25,male,Associate,240717,12000,EDUCATION,11.48,3,No,0
26,female,Associate,226744,20000,VENTURE,17.74,2,No,1
26,female,Bachelor,241114,3000,PERSONAL,13.92,3,Yes,0
25,male,Bachelor,85284,25000,EDUCATION,15.21,3,No,1
22,female,Bachelor,18152,4000,MEDICAL,10.99,3,No,1
24,female,High School,84871,25000,EDUCATION,11.86,4,No,1
24,male,Bachelor,18294,6000,PERSONAL,7.49,3,No,1
24,male,Bachelor,68029,25000,MEDICAL,16.49,4,No,1
25,female,High School,80001,25000,VENTURE,15.33,2,No,1
26,female,High School,79875,25000,HOMEIMPROVEMENT,11.58,4,No,1
25,male,High School,18449,5375,EDUCATION,5.79,2,No,1
25,male,Associate,88153,25000,MEDICAL,13.11,2,No,1
23,female,Bachelor,90109,25000,MEDICAL,10.36,3,No,1
25,male,Bachelor,90938,25000,DEBTCONSOLIDATION,10.36,2,No,1
24,male,High School,231335,22000,MEDICAL,11.01,2,Yes,0
21,male,Bachelor,231829,20000,VENTURE,6.54,4,No,0
25,female,Associate,230516,10000,MEDICAL,12.53,4,No,0
26,male,Bachelor,229626,15000,PERSONAL,11.01,3,No,0
22,male,Bachelor,228907,10000,VENTURE,11.01,3,Yes,0
24,male,Bachelor,90938,25000,EDUCATION,10.25,4,No,1
22,male,Associate,86284,25000,EDUCATION,15.95,4,No,1
26,male,Associate,228774,20000,VENTURE,12.18,4,Yes,0
23,male,High School,229027,24000,PERSONAL,11.83,3,Yes,0
23,male,High School,94789,25000,DEBTCONSOLIDATION,11.01,2,No,1
23,female,Master,94780,25000,VENTURE,10.62,3,No,1
23,male,High School,95298,25000,VENTURE,10.74,3,No,1
25,male,Associate,223944,10000,VENTURE,10.25,4,Yes,0
24,male,High School,222629,35000,EDUCATION,12.42,2,No,0
25,female,Bachelor,222973,15000,VENTURE,15.27,2,Yes,0
24,female,High School,75240,25000,MEDICAL,15.33,2,No,1
23,female,High School,96143,25000,VENTURE,15.21,2,No,1
21,male,Bachelor,18064,6250,VENTURE,14.72,2,No,1
24,male,Associate,96627,25000,PERSONAL,15.7,2,No,1
24,male,Bachelor,96309,25000,EDUCATION,13.35,4,No,1
21,female,High School,18421,1500,MEDICAL,11.01,4,No,0
24,male,Master,96836,25000,EDUCATION,6.62,2,No,1
26,male,Bachelor,96947,25000,DEBTCONSOLIDATION,13.61,4,No,1
22,female,Associate,222975,25000,MEDICAL,11.36,2,Yes,0
26,male,Associate,222985,5000,PERSONAL,7.68,2,Yes,0
24,female,Bachelor,223064,22000,HOMEIMPROVEMENT,14.46,4,Yes,0
23,male,Associate,221559,2500,EDUCATION,11.83,2,Yes,0
24,female,Associate,207712,20000,DEBTCONSOLIDATION,13.47,4,No,1
24,female,Bachelor,220872,20000,MEDICAL,11.49,3,Yes,0
22,male,High School,220518,1000,EDUCATION,11.01,2,Yes,0
25,female,Associate,220510,15000,PERSONAL,6.03,3,Yes,0
23,female,Bachelor,89818,25000,DEBTCONSOLIDATION,16.35,4,No,1
26,female,High School,90006,25000,DEBTCONSOLIDATION,11.01,4,No,1
25,female,High School,98704,25000,DEBTCONSOLIDATION,7.29,3,No,1
23,male,High School,98967,25000,MEDICAL,11.36,3,No,1
24,male,High School,99435,25000,VENTURE,10.25,2,No,0
24,female,Bachelor,100658,25000,EDUCATION,11.12,3,No,0
24,female,Bachelor,100435,25000,PERSONAL,12.92,3,Yes,0
24,male,High School,216925,18000,EDUCATION,18.64,4,Yes,0
23,female,Bachelor,216891,28000,PERSONAL,7.51,3,Yes,0
23,male,Master,18512,4000,HOMEIMPROVEMENT,16.7,2,No,1
22,male,Master,18367,2100,PERSONAL,11.14,4,No,0
22,female,Associate,102317,25000,PERSONAL,18.3,4,Yes,0
24,female,Associate,103400,25000,MEDICAL,10.62,4,Yes,0
24,male,Bachelor,217134,14000,VENTURE,11.99,2,Yes,0
26,male,Master,217024,12000,VENTURE,9.63,4,Yes,0
25,female,High School,172215,10000,MEDICAL,18.25,4,No,1
23,male,Master,18831,6000,DEBTCONSOLIDATION,11.01,4,No,1
24,male,Associate,105349,25000,HOMEIMPROVEMENT,14.84,3,Yes,0
24,male,Bachelor,91184,25000,VENTURE,14.7,3,No,1
23,female,High School,91886,25000,DEBTCONSOLIDATION,16.02,4,No,1
23,male,Associate,80452,25000,MEDICAL,15.37,2,No,1
25,female,Bachelor,108758,25000,MEDICAL,10.99,4,No,0
21,male,Associate,18916,6200,HOMEIMPROVEMENT,7.9,2,No,1
26,female,High School,217234,25000,PERSONAL,10.99,4,Yes,0
24,female,High School,217017,21000,EDUCATION,11.48,3,Yes,0
25,male,High School,216874,20000,MEDICAL,14.26,4,Yes,0
26,male,Associate,216833,10000,HOMEIMPROVEMENT,8,4,Yes,0
25,male,Bachelor,216483,9950,VENTURE,11.26,2,No,0
23,female,Master,19000,4475,MEDICAL,11.01,4,No,1
23,female,Master,94363,25000,VENTURE,16.32,3,No,1
25,male,Master,80570,25000,MEDICAL,17.93,4,No,1
23,male,Bachelor,109167,25000,DEBTCONSOLIDATION,11.36,3,No,0
24,female,Associate,95753,25000,DEBTCONSOLIDATION,14.96,4,No,1
24,female,Associate,110935,25000,PERSONAL,13.43,3,Yes,0
25,male,Associate,111490,25000,HOMEIMPROVEMENT,12.69,3,Yes,0
24,male,Associate,111729,25000,VENTURE,12.73,4,Yes,0
23,female,High School,113396,25000,VENTURE,15.21,4,No,0
23,female,Bachelor,19175,1750,MEDICAL,12.68,3,Yes,0
23,female,High School,85787,25000,MEDICAL,19.04,4,No,1
25,female,Master,102114,25000,DEBTCONSOLIDATION,15.95,3,No,1
26,male,Bachelor,211005,2600,VENTURE,8.9,4,No,0
25,male,Master,210903,8000,HOMEIMPROVEMENT,7.9,2,Yes,0
22,male,Associate,210555,18000,EDUCATION,11.01,2,No,0
23,male,Bachelor,210937,21000,PERSONAL,11.99,3,Yes,0
23,male,High School,19062,4000,DEBTCONSOLIDATION,13.98,4,No,1
23,female,Associate,18926,4600,VENTURE,10.99,2,No,1
22,male,Associate,106694,25000,DEBTCONSOLIDATION,15.58,2,No,1
25,male,Master,90718,25000,MEDICAL,10.99,2,No,1
25,male,Bachelor,106668,25000,VENTURE,14.96,4,No,1
25,male,High School,19158,1750,HOMEIMPROVEMENT,15.31,4,Yes,0
26,male,High School,106419,25000,VENTURE,15.65,3,No,1
25,female,High School,120696,25000,VENTURE,9.33,4,Yes,0
23,male,High School,19065,3600,PERSONAL,13.47,4,No,1
24,female,Associate,124083,25000,PERSONAL,10.36,3,Yes,0
24,male,Associate,111673,25000,HOMEIMPROVEMENT,16.77,4,No,1
23,male,High School,112633,25000,DEBTCONSOLIDATION,14.59,2,No,1
22,male,High School,210938,3500,VENTURE,11.91,2,No,0
23,female,Associate,210720,7200,EDUCATION,8.38,3,Yes,0
25,male,High School,210705,9000,VENTURE,10.59,3,Yes,0
25,male,High School,209997,8800,DEBTCONSOLIDATION,14.27,3,Yes,0
26,female,Master,209873,12000,DEBTCONSOLIDATION,12.53,4,No,0
25,female,Associate,195268,25000,DEBTCONSOLIDATION,16,3,No,1
26,male,Master,209393,10000,VENTURE,11.71,4,Yes,0
21,male,Master,18773,3175,HOMEIMPROVEMENT,11.54,3,No,1
25,female,Bachelor,116439,25000,HOMEIMPROVEMENT,15.68,4,No,1
21,female,Associate,19169,1500,EDUCATION,10.59,2,Yes,0
24,female,High School,118417,25000,HOMEIMPROVEMENT,12.61,2,No,1
26,female,High School,133476,25000,PERSONAL,11.01,2,Yes,0
23,female,Associate,19312,2800,PERSONAL,8.49,3,No,1
25,male,High School,192351,30000,PERSONAL,17.27,4,No,1
24,male,Bachelor,206648,18000,DEBTCONSOLIDATION,8.9,4,Yes,0
25,female,High School,205046,10000,MEDICAL,11.11,4,Yes,0
24,male,High School,190735,25000,HOMEIMPROVEMENT,14.59,2,No,1
26,female,Associate,204872,13000,VENTURE,12.42,3,No,0
24,male,Associate,100758,25000,MEDICAL,11.01,2,No,1
24,female,Master,133231,25000,HOMEIMPROVEMENT,15.7,2,Yes,0
22,female,Master,18923,2500,HOMEIMPROVEMENT,12.53,3,No,1
25,female,Master,161894,5000,MEDICAL,16.49,2,No,1
25,female,Bachelor,205144,20000,EDUCATION,7.49,2,Yes,0
22,female,High School,121617,25000,DEBTCONSOLIDATION,14.96,2,No,1
25,male,Associate,136206,25000,MEDICAL,12.73,4,No,0
24,male,Master,144915,25000,EDUCATION,10.65,4,Yes,0
25,female,High School,145233,25000,MEDICAL,10.74,2,No,0
23,male,Bachelor,145002,25000,EDUCATION,9.99,2,Yes,0
24,male,Master,110953,25000,MEDICAL,15.33,2,No,1
21,female,High School,19414,1000,VENTURE,7.29,4,Yes,0
26,male,High School,130096,25000,PERSONAL,15.05,3,No,1
26,male,Master,157292,25000,PERSONAL,10.75,3,Yes,0
23,female,Bachelor,156995,25000,EDUCATION,16.02,2,Yes,0
23,female,Associate,156952,25000,VENTURE,11.49,4,Yes,0
25,female,Associate,205005,20000,EDUCATION,12.53,4,No,0
26,female,Bachelor,205060,12000,VENTURE,13.57,2,No,0
22,male,High School,203782,14000,PERSONAL,11.14,3,Yes,0
26,male,High School,203368,24250,MEDICAL,12.87,3,Yes,0
23,female,Associate,203403,20000,EDUCATION,11.58,3,No,0
24,female,Associate,202715,1800,HOMEIMPROVEMENT,11.12,3,Yes,0
25,female,Master,202525,35000,PERSONAL,10.65,2,Yes,0
24,male,Associate,161487,25000,DEBTCONSOLIDATION,10.37,2,No,0
24,male,Associate,19677,3300,HOMEIMPROVEMENT,6.39,4,No,1
24,male,High School,161952,25000,PERSONAL,16.07,3,Yes,0
25,female,Bachelor,161560,25000,MEDICAL,10.62,2,Yes,0
25,male,High School,19423,3200,VENTURE,18.09,2,No,1
25,male,Associate,163134,25000,EDUCATION,11.36,4,Yes,0
26,female,Bachelor,163683,25000,DEBTCONSOLIDATION,12.53,4,Yes,0
25,female,Bachelor,174972,25000,EDUCATION,9.99,4,Yes,0
23,male,High School,181016,25000,EDUCATION,10.36,3,No,0
23,female,Master,198920,9600,EDUCATION,5.99,3,Yes,0
22,female,Master,184800,24000,DEBTCONSOLIDATION,15.62,2,No,1
24,male,Master,198862,20000,PERSONAL,10.37,4,No,0
25,male,Associate,199407,25000,HOMEIMPROVEMENT,19.74,4,No,0
21,male,Bachelor,198803,20000,EDUCATION,6.91,4,Yes,0
23,male,Associate,20044,6000,MEDICAL,7.9,2,No,1
23,female,Bachelor,20401,2275,DEBTCONSOLIDATION,13.06,4,Yes,0
23,female,High School,19859,2000,PERSONAL,6.39,3,Yes,0
23,male,Master,178660,25000,DEBTCONSOLIDATION,14.93,3,No,1
23,female,High School,20421,5600,MEDICAL,12.84,4,No,1
24,male,Master,20353,3625,VENTURE,17.14,2,No,1
22,male,Master,20297,5500,VENTURE,7.14,3,No,1
25,male,Bachelor,210932,25000,PERSONAL,8.9,2,No,0
22,female,High School,20405,2000,PERSONAL,12.42,3,Yes,0
24,male,Associate,223194,25000,HOMEIMPROVEMENT,12.68,2,Yes,0
25,female,Associate,195560,25000,PERSONAL,11.03,2,Yes,0
26,male,Bachelor,194140,30000,VENTURE,7.9,4,Yes,0
22,male,High School,193337,35000,MEDICAL,10.65,4,Yes,0
25,male,High School,270992,25000,VENTURE,11.86,4,No,0
25,male,Associate,20221,5000,PERSONAL,8.94,4,No,1
23,male,Bachelor,20678,4375,VENTURE,9.63,4,No,1
25,female,High School,60742,24750,PERSONAL,14.22,3,No,1
23,female,High School,72805,24750,DEBTCONSOLIDATION,9.33,3,No,1
24,male,Master,102011,24500,MEDICAL,13.85,4,Yes,0
22,male,High School,20896,2000,EDUCATION,10.65,2,No,0
24,female,Bachelor,111283,24500,MEDICAL,11.46,4,No,0
23,female,Associate,192873,35000,PERSONAL,7.66,2,Yes,0
24,female,Bachelor,193174,12000,VENTURE,16.77,4,No,0
25,female,Bachelor,193249,12000,PERSONAL,9.63,4,Yes,0
26,female,Bachelor,192954,25000,PERSONAL,12.23,4,No,0
25,male,Master,152227,10000,MEDICAL,14.09,4,No,1
25,female,Bachelor,65399,24250,PERSONAL,13.98,4,No,1
23,female,High School,75928,24250,EDUCATION,10.62,4,No,1
24,male,Bachelor,21627,3900,DEBTCONSOLIDATION,11.01,3,No,1
25,male,High School,83235,24250,PERSONAL,17.56,4,No,1
26,male,High School,68297,24250,MEDICAL,14.96,2,No,1
22,male,Master,89977,24250,DEBTCONSOLIDATION,15.65,2,No,1
24,female,Associate,79510,24250,MEDICAL,15.7,2,No,1
24,female,Bachelor,109050,24250,VENTURE,12.53,3,No,0
26,female,Bachelor,94635,24250,HOMEIMPROVEMENT,17.56,3,No,1
23,male,High School,120966,24250,PERSONAL,12.87,2,No,0
23,male,Master,124437,24250,PERSONAL,15.7,2,Yes,0
25,male,Bachelor,193147,9000,EDUCATION,11.01,3,Yes,0
25,male,Bachelor,192914,15000,VENTURE,11.14,4,Yes,0
24,female,Bachelor,192806,20000,VENTURE,16,3,Yes,0
23,male,High School,193097,25000,EDUCATION,15.65,2,Yes,0
26,female,Associate,193082,13750,DEBTCONSOLIDATION,11.01,4,Yes,0
21,female,High School,192841,15250,VENTURE,15.31,4,No,0
25,male,Master,193300,20000,VENTURE,13.47,2,Yes,0
22,male,Associate,21205,4750,HOMEIMPROVEMENT,13.85,2,No,1
25,female,Bachelor,135292,24250,PERSONAL,11.01,3,No,0
21,male,High School,21363,6000,VENTURE,10.39,4,No,1
25,male,High School,139035,24250,HOMEIMPROVEMENT,11.36,2,No,0
23,male,High School,173511,24250,EDUCATION,11.83,3,Yes,0
23,male,Associate,345520,24250,EDUCATION,12.53,3,Yes,0
22,female,Bachelor,130762,24150,HOMEIMPROVEMENT,14.96,3,No,1
22,female,Bachelor,52596,24000,DEBTCONSOLIDATION,13.85,3,No,1
23,female,Bachelor,57326,24000,VENTURE,11.58,4,No,1
24,female,High School,58262,24000,VENTURE,16.29,2,No,1
26,female,High School,58620,24000,MEDICAL,11.01,3,No,1
21,female,Master,55113,24000,EDUCATION,16.29,2,No,1
25,male,Bachelor,63361,24000,PERSONAL,10.74,2,No,1
22,female,Associate,22107,2250,EDUCATION,15.27,3,Yes,0
24,female,Bachelor,57356,24000,PERSONAL,17.8,2,No,1
22,female,Bachelor,21790,1000,VENTURE,11.36,2,Yes,0
22,female,High School,59680,24000,MEDICAL,17.56,4,No,1
26,female,Master,72720,24000,PERSONAL,7.9,4,No,1
25,female,High School,73024,24000,PERSONAL,10.99,4,No,1
